区域,板块,预售许可证号,项目名称,开发企业,可售套数,已售套数
慈溪市,宗汉街道,2012004,伊顿花苑28号楼,慈溪市吉恒置业有限公司,0,0
慈溪市,宗汉街道,2012004,伊顿花苑27号楼,慈溪市吉恒置业有限公司,3,0
慈溪市,宗汉街道,2012004,伊顿花苑26号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑25号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑24号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑23号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑22号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑21号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑20号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑19号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑18号楼,慈溪市吉恒置业有限公司,5,4
慈溪市,宗汉街道,2012004,伊顿花苑17号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑16号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑15号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑14号楼,慈溪市吉恒置业有限公司,5,2
慈溪市,宗汉街道,2012004,伊顿花苑13号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑12号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑11号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑10号楼,慈溪市吉恒置业有限公司,4,1
慈溪市,宗汉街道,2012004,伊顿花苑9号楼,慈溪市吉恒置业有限公司,4,3
慈溪市,宗汉街道,2012004,伊顿花苑8号楼,慈溪市吉恒置业有限公司,4,0
慈溪市,宗汉街道,2012004,伊顿花苑7号楼,慈溪市吉恒置业有限公司,4,2
慈溪市,宗汉街道,2012004,伊顿花苑6号楼,慈溪市吉恒置业有限公司,4,3
慈溪市,宗汉街道,2012003,双囍花园2号地下室,慈溪金轮梵石房地产有限公司,538,207
慈溪市,宗汉街道,2012003,双囍花园27号楼,慈溪金轮梵石房地产有限公司,60,50
慈溪市,宗汉街道,2012003,双囍花园26号楼,慈溪金轮梵石房地产有限公司,60,35
慈溪市,宗汉街道,2012003,双囍花园25号楼,慈溪金轮梵石房地产有限公司,60,53
慈溪市,宗汉街道,2012003,双囍花园23号楼,慈溪金轮梵石房地产有限公司,60,52
慈溪市,古塘街道,2012001、2012002,慈溪智慧谷科技广场地下室,慈溪浙大网新创新园开发有限公司,158,31
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场22号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场21号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场20号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场19号楼,慈溪浙大网新创新园开发有限公司,2,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场18号楼,慈溪浙大网新创新园开发有限公司,2,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场17号楼,慈溪浙大网新创新园开发有限公司,2,2
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场16号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场15号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场14号楼,慈溪浙大网新创新园开发有限公司,0,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场13号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场12号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场11号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,,2012001,慈溪智慧谷科技广场10号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场9号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场8号楼,慈溪浙大网新创新园开发有限公司,34,3
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场7号楼,慈溪浙大网新创新园开发有限公司,2,0
慈溪市,,2012001,慈溪智慧谷科技广场6号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场5号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场4号楼,慈溪浙大网新创新园开发有限公司,2,2
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场3号楼,慈溪浙大网新创新园开发有限公司,5,5
慈溪市,古塘街道,2012002,慈溪智慧谷科技广场2号楼,慈溪浙大网新创新园开发有限公司,1,1
慈溪市,古塘街道,2012001,慈溪智慧谷科技广场1号楼,慈溪浙大网新创新园开发有限公司,115,14
慈溪市,长河镇,2011023,凯盛家苑配电房,慈溪中骏房地产开发有限公司,0,0
慈溪市,长河镇,2011023,凯盛家苑8号楼,慈溪中骏房地产开发有限公司,60,60
慈溪市,长河镇,2011023,凯盛家苑7号楼,慈溪中骏房地产开发有限公司,37,36
慈溪市,长河镇,2011023,凯盛家苑6号楼,慈溪中骏房地产开发有限公司,40,38
慈溪市,长河镇,2011023,凯盛家苑5号楼,慈溪中骏房地产开发有限公司,37,26
慈溪市,长河镇,2011023,凯盛家苑4号楼,慈溪中骏房地产开发有限公司,18,17
慈溪市,长河镇,2011023,凯盛家苑3号楼,慈溪中骏房地产开发有限公司,37,37
慈溪市,长河镇,2011023,凯盛家苑1号楼,慈溪中骏房地产开发有限公司,47,44
慈溪市,长河镇,2011023,凯盛家苑2号楼,慈溪中骏房地产开发有限公司,40,40
慈溪市,宗汉街道,2011020,清和花苑地下室,慈溪万城置业有限公司,20,3
慈溪市,宗汉街道,2011020,清和花苑4号楼,慈溪万城置业有限公司,48,43
慈溪市,宗汉街道,2011020,清和花苑3号楼,慈溪万城置业有限公司,18,15
慈溪市,宗汉街道,2011020,清和花苑2号楼,慈溪万城置业有限公司,23,21
慈溪市,宗汉街道,2011020,清和花苑1号楼,慈溪万城置业有限公司,21,15
慈溪市,宗汉街道,2011021,白金湾小区地下室,宁波市远策置业有限公司,868,192
慈溪市,龙山镇,2011302,香湖丹堤花园290号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园289号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园288号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园279号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园278号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园277号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园276号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园275号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园266号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园265号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园263号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园262号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园261号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园252号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园251号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园250号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园249号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园248号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园238号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园237号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园236号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园235号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园233号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园229号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园228号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园227号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园226号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园225号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,1,1
慈溪市,龙山镇,2011302,香湖丹堤花园223号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园222号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园221号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,12,12
慈溪市,龙山镇,2011302,香湖丹堤花园220号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,18,16
慈溪市,龙山镇,2011302,香湖丹堤花园219号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,12,12
慈溪市,龙山镇,2011302,香湖丹堤花园218号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,18,16
慈溪市,龙山镇,2011302,香湖丹堤花园215号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园213号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园212号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园211号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园210号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园209号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园208号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园207号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园206号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园205号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园203号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园202号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园201号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园200号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,2
慈溪市,龙山镇,2011302,香湖丹堤花园199号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园198号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园197号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园196号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园195号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园193号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园192号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园182号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园181号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园180号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园179号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
慈溪市,龙山镇,2011302,香湖丹堤花园178号楼,宁波雅戈尔达蓬山旅游投资开发有限公司,2,0
